GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,CATALOGUE,SIZE_CLASS
349,349,24d09m45.6s,15d46m1.5s,33,26,31,30,A,large
350,350,24d09m45.7s,15d46m41.4s,51,46,50,0,A,giants
352,352,24d09m45.8s,15d46m10.7s,11,11,11,0,A,tiny
353,353,24d09m45.8s,15d47m0.2s,14,14,14,0,A,tiny
354,354,24d09m45.8s,15d46m22.9s,15,15,15,0,A,tiny
355,355,24d09m45.9s,15d46m59.2s,20,14,18,70,A,small
356,356,24d09m45.9s,15d47m30.2s,32,32,32,0,A,large
357,357,24d09m45.9s,15d47m22.8s,32,32,32,0,A,large
358,358,24d09m45.9s,15d46m10.2s,19,14,17,0,A,tiny
359,359,24d09m46.0s,15d46m38.6s,36,36,36,0,A,large
361,361,24d09m46.1s,15d47m56.3s,53,35,47,0,A,giants
362,362,24d09m46.2s,15d46m9.2s,12,11,12,0,A,tiny
363,363,24d09m46.2s,15d46m7.0s,16,15,16,-90,A,tiny
364,364,24d09m46.2s,15d46m59.7s,29,28,28,0,A,medium
365,365,24d09m46.2s,15d47m24.9s,34,34,34,0,A,large
366,366,24d09m46.4s,15d47m14.8s,48,43,46,-90,A,giants
367,367,24d09m46.4s,15d46m55.9s,45,45,45,0,A,giants
368,368,24d09m46.4s,15d47m42.9s,38,38,38,0,A,large
369,369,24d09m46.4s,15d46m44.3s,44,44,44,0,A,giants
370,370,24d09m46.5s,15d46m52.7s,29,29,29,0,A,medium
371,371,24d09m46.5s,15d46m10.0s,11,10,11,-90,A,tiny
372,372,24d09m46.6s,15d47m13.6s,45,45,45,0,A,giants
373,373,24d09m46.6s,15d47m17.6s,37,34,36,-90,A,large
374,374,24d09m46.8s,15d46m1.5s,16,15,16,0,A,tiny
375,375,24d09m46.8s,15d45m53.7s,22,22,22,0,A,small
376,376,24d09m46.8s,15d48m2.5s,12,11,11,-90,A,tiny
377,377,24d09m46.9s,15d46m57.1s,101,62,88,60,A,giants
378,378,24d09m47.0s,15d46m6.8s,12,12,12,0,A,tiny
379,379,24d09m47.0s,15d47m47.1s,28,28,28,0,A,medium
382,382,24d09m47.3s,15d47m11.7s,55,53,54,-90,A,giants
384,384,24d09m47.5s,15d47m20.0s,61,37,53,-65,A,giants
385,385,24d09m47.6s,15d46m2.3s,27,21,25,0,A,medium
386,386,24d09m47.8s,15d46m53.1s,29,29,29,0,A,medium
388,388,24d09m47.8s,15d46m50.0s,33,24,30,-90,A,large
390,390,24d09m48.0s,15d47m42.6s,118,98,111,30,A,edgeLarge
391,391,24d09m48.0s,15d46m57.9s,28,20,25,60,A,medium
392,392,24d09m48.1s,15d48m2.0s,37,37,37,0,A,large
393,393,24d09m48.3s,15d46m0.3s,48,48,48,0,A,giants
395,395,24d09m48.4s,15d47m44.5s,44,44,44,0,A,giants
396,396,24d09m48.4s,15d47m47.0s,18,17,17,0,A,tiny
398,398,24d09m48.6s,15d46m10.5s,17,16,17,-90,A,tiny
399,399,24d09m48.7s,15d47m37.6s,65,55,62,-51,A,giants
401,401,24d09m48.8s,15d45m46.5s,39,39,39,0,A,large
403,403,24d09m48.9s,15d46m3.4s,32,31,32,-90,A,large
404,404,24d09m48.9s,15d45m48.6s,24,24,24,0,A,medium
405,405,24d09m48.9s,15d46m5.6s,32,20,28,-50,A,medium
406,406,24d09m49.1s,15d46m10.6s,7,7,7,0,A,tiny
407,407,24d09m49.1s,15d46m1.5s,18,16,18,0,A,small
408,408,24d09m49.1s,15d47m26.8s,18,18,18,0,A,small
409,409,24d09m49.1s,15d47m55.2s,24,24,24,0,A,medium
411,411,24d09m49.2s,15d47m27.3s,12,12,12,0,A,tiny
412,412,24d09m49.4s,15d47m46.3s,14,14,14,0,A,tiny
414,414,24d09m49.5s,15d46m49.6s,53,37,48,-10,A,giants
415,415,24d09m49.7s,15d47m47.6s,43,40,42,0,A,giants
416,416,24d09m49.7s,15d46m51.7s,97,78,91,60,A,giants
417,417,24d09m49.7s,15d45m49.2s,40,40,40,0,A,large
418,418,24d09m49.8s,15d47m43.8s,33,33,33,0,A,large
420,420,24d09m49.8s,15d46m13.0s,19,18,19,-90,A,small
421,421,24d09m49.8s,15d46m56.6s,12,10,11,-90,A,tiny
