GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,CATALOGUE
905,905,24d10m20.7s,15d48m4.9s,50,50,50,0,2,32,3.05,A
922,922,24d10m22.3s,15d48m7.7s,45,42,44,90,2,57,3.18,A
931,931,24d10m23.3s,15d47m29.9s,119,92,110,85,4,21,1.38,A
938,938,24d10m23.9s,15d46m37.3s,43,43,43,0,2,-175,1.14,A
946,946,24d10m25.1s,15d48m37.3s,49,41,46,0,1,-10,4.59,A
948,948,24d10m25.7s,15d48m10.9s,42,40,41,90,2,79,3.33,A
949,949,24d10m26.3s,15d47m0.5s,241,183,222,0,4,218,0.03,A
952,952,24d10m26.7s,15d46m30.9s,65,53,61,0,2,-198,1.44,A
954,954,24d10m26.7s,15d48m12.3s,49,36,44,90,2,92,3.39,A
956,956,24d10m27.0s,15d47m26.0s,54,47,51,0,4,-26,1.19,A
958,958,24d10m27.1s,15d48m8.2s,103,64,90,-60,2,55,3.2,A
967,967,24d10m27.8s,15d45m51.0s,68,68,68,0,4,127,3.35,A
971,971,24d10m28.2s,15d46m36.9s,44,44,44,0,2,-212,1.16,A
977,977,24d10m28.6s,15d45m55.5s,51,51,51,0,4,86,3.13,A
978,978,24d10m28.8s,15d46m41.2s,42,42,42,0,2,-225,0.96,A
990,990,24d10m29.3s,15d48m22.1s,75,65,71,0,1,-146,3.87,A
994,994,24d10m29.5s,15d48m12.2s,85,59,76,-30,2,93,3.39,A
998,998,24d10m29.9s,15d45m58.1s,155,133,148,-30,4,63,3.01,A
1003,1003,24d10m30.2s,15d47m17.8s,64,63,64,0,4,88,0.82,A
1005,1005,24d10m30.3s,15d48m16.6s,45,45,45,0,2,133,3.61,A
1007,1007,24d10m30.4s,15d48m36.9s,84,66,78,20,1,-30,4.58,A
1008,1008,24d10m30.4s,15d47m1.5s,68,43,59,0,4,218,0.21,A
1009,1009,24d10m30.4s,15d47m21.6s,50,37,46,0,4,71,1.0,A
1013,1013,24d10m30.6s,15d48m19.0s,48,48,48,0,2,155,3.72,A
1023,1023,24d10m31.0s,15d47m26.1s,49,28,42,20,4,-41,1.22,A
1024,1024,24d10m31.2s,15d47m40.2s,68,68,68,0,4,80,1.88,A
1025,1025,24d10m31.3s,15d46m37.0s,44,43,44,0,2,-238,1.18,A
1042,1042,24d10m32.1s,15d48m24.9s,104,87,98,-60,1,-134,4.01,A
1044,1044,24d10m32.2s,15d47m27.6s,58,43,53,-80,4,-29,1.3,A
1054,1054,24d10m32.6s,15d47m21.4s,46,46,46,0,4,-83,1.01,A
1065,1065,24d10m33.1s,15d46m55.4s,45,45,45,0,4,-258,0.43,A
1067,1067,24d10m33.3s,15d48m19.5s,45,45,45,0,2,164,3.76,A
1078,1078,24d10m33.8s,15d48m9.8s,242,178,221,-30,2,76,3.3,A
1082,1082,24d10m33.9s,15d46m3.7s,61,61,61,0,4,21,2.76,A
1086,1086,24d10m34.3s,15d45m48.3s,123,91,112,0,4,154,3.5,A
1091,1091,24d10m34.5s,15d47m19.1s,58,57,57,0,4,99,0.94,A
1095,1095,24d10m34.6s,15d47m27.2s,69,69,69,0,4,-30,1.31,A
1102,1102,24d10m35.1s,15d46m22.4s,79,79,79,0,4,-124,1.9,A
1117,1117,24d10m35.8s,15d47m58.9s,158,126,147,-30,2,-16,2.8,A
1126,1126,24d10m36.2s,15d45m52.7s,296,251,281,-50,4,119,3.3,A
1129,1129,24d10m36.2s,15d47m5.2s,67,67,67,0,4,-192,0.51,A
1134,1134,24d10m36.5s,15d46m42.6s,64,52,60,0,4,246,1.01,A
