ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
256,24d09m39.5s,15d46m58.0s,17,17,17,0,2,38,2.14
257,24d09m39.5s,15d46m55.4s,17,14,16,-90,2,45,2.15
258,24d09m39.6s,15d47m25.5s,45,44,45,0,2,9,2.42
259,24d09m39.7s,15d46m54.2s,20,19,20,-90,2,47,2.14
260,24d09m39.9s,15d45m57.8s,24,24,24,0,4,75,3.69
261,24d09m40.0s,15d47m27.1s,40,40,40,0,2,13,2.45
262,24d09m40.2s,15d47m47.9s,48,34,43,60,2,79,3.06
263,24d09m40.2s,15d47m28.8s,33,33,33,0,2,11,2.48
264,24d09m40.4s,15d45m55.0s,98,98,98,0,4,99,3.78
265,24d09m40.5s,15d46m58.9s,40,31,37,0,2,28,2.09
266,24d09m40.6s,15d47m2.5s,20,20,20,0,2,21,2.08
267,24d09m40.6s,15d46m10.4s,27,27,27,0,4,-33,3.19
268,24d09m40.7s,15d46m57.7s,24,23,23,0,2,29,2.08
269,24d09m40.8s,15d46m55.7s,15,14,15,-90,2,34,2.09
270,24d09m40.8s,15d46m56.9s,35,27,32,0,2,32,2.08
271,24d09m40.9s,15d47m10.1s,30,30,30,0,2,5,2.11
272,24d09m41.0s,15d47m23.7s,26,26,26,0,2,-3,2.32
273,24d09m41.1s,15d46m45.7s,24,24,24,0,2,71,2.18
274,24d09m41.2s,15d46m58.2s,21,21,21,0,2,23,2.06
275,24d09m41.3s,15d46m43.1s,13,13,13,0,2,80,2.22
276,24d09m41.5s,15d47m12.1s,46,46,46,0,2,-3,2.11
277,24d09m41.6s,15d45m50.7s,23,23,23,0,4,132,3.93
278,24d09m41.6s,15d47m23.5s,16,16,16,0,2,-8,2.30
279,24d09m41.7s,15d47m0.0s,36,36,36,0,2,15,2.03
280,24d09m41.7s,15d46m42.9s,10,10,10,0,2,78,2.21
281,24d09m41.8s,15d46m56.3s,19,19,19,0,2,24,2.04
282,24d09m41.8s,15d45m48.7s,180,101,154,-60,4,149,4.01
283,24d09m41.8s,15d45m46.7s,60,44,55,-50,4,166,4.09
284,24d09m41.9s,15d47m51.0s,17,17,17,0,2,85,3.12
285,24d09m41.9s,15d46m43.3s,10,10,10,0,2,75,2.19
286,24d09m41.9s,15d47m10.9s,35,35,35,0,2,-4,2.07
287,24d09m42.0s,15d47m49.0s,95,63,84,-40,2,72,3.05
288,24d09m42.0s,15d46m8.3s,58,58,58,0,4,-18,3.22
289,24d09m42.2s,15d47m18.7s,83,52,73,0,2,-13,2.18
290,24d09m42.2s,15d47m47.3s,25,25,25,0,2,61,2.98
291,24d09m42.2s,15d45m59.8s,26,26,26,0,4,53,3.55
292,24d09m42.4s,15d46m57.1s,35,27,33,0,2,19,2.01
293,24d09m42.4s,15d46m55.5s,25,18,23,60,2,22,2.02
294,24d09m42.4s,15d47m2.8s,30,30,30,0,2,5,2
295,24d09m42.5s,15d45m51.1s,30,24,28,-20,4,126,3.89
296,24d09m42.5s,15d47m1.3s,23,20,22,-90,2,4,1.99
297,24d09m42.7s,15d46m49.6s,23,17,21,0,2,44,2.06
298,24d09m42.7s,15d48m31.1s,49,49,49,0,3,-112,4.73
299,24d09m42.8s,15d47m50.3s,38,38,38,0,2,75,3.07
300,24d09m42.8s,15d46m54.0s,24,19,22,0,2,25,2.01
301,24d09m42.8s,15d46m39.4s,31,28,30,0,2,89,2.23
302,24d09m42.8s,15d47m15.2s,90,69,83,0,2,-19,2.09
303,24d09m42.9s,15d47m22.8s,52,47,50,-90,2,-19,2.23
304,24d09m42.9s,15d47m12.6s,38,38,38,0,2,-12,2.05
305,24d09m43.0s,15d46m53.2s,15,14,15,-90,2,27,2
